name_rep	at_id
C2H2_tnt.IDD7_col_a	AT1G55110
C2H2_tnt.JGL_col_a	AT1G13400
C2H2_tnt.JKD_col_a	AT5G03150
C2H2_tnt.MGP_col_a	AT1G03840
C2H2_tnt.MGP_colamp_a	AT1G03840
C2H2_tnt.NUC_col_a	AT5G44160
C2H2_tnt.NUC_colamp_a	AT5G44160
C2H2_tnt.SGR5_col_a	AT2G01940
C2H2_tnt.SGR5_colamp_a	AT2G01940
C2H2_tnt.STOP1_col_a	AT1G34370
C2H2_tnt.STOP1_colamp_a	AT1G34370
C2H2_tnt.STZ_col	AT1G27730
C2H2_tnt.STZ_colamp_a	AT1G27730
C2H2_tnt.TF3A_col_a	AT1G72050
C2H2_tnt.WIP5_col_a	AT1G51220
C2H2_tnt.WIP5_colamp_a	AT1G51220
C3H_tnt.AT3G12130_colamp_a	AT3G12130
C3H_tnt.AT5G63260_col_a	AT5G63260
C3H_tnt.AT5G63260_colamp_a	AT5G63260
C3H_tnt.At1g70910_col_a	AT1G70910
C3H_tnt.At1g74370_col_a	AT1G74370
C3H_tnt.At5g08750_col_a	AT5G08750
C3H_tnt.CDM1_colamp_a	AT1G68200
C3H_tnt.EMB1789_col_a	AT5G56930
C3H_tnt.TZF9_col_a	AT5G58620
C3H_tnt.U2AF35B_col_a	AT5G42820
CAMTA_tnt.CAMTA1_col_a	AT5G09410
CAMTA_tnt.CAMTA5_col_a	AT4G16150
CCAATHAP3_tnt.HAP3_col_a	AT2G38880
CCAATHAP3_tnt.NFYB4_col_a	AT1G09030
CPP_tnt.AT2G20110_col_a	AT2G20110
CPP_tnt.AT2G20110_colamp_a	AT2G20110
CPP_tnt.SOL1_col	AT3G22760
CPP_tnt.SOL1_colamp_a	AT3G22760
CPP_tnt.TCX2_col_a	AT4G14770
CPP_tnt.TCX2_colamp_a	AT4G14770
CPP_tnt.TSO1_col_a	AT3G22780
DBP_tnt.AT3G51470_col_a	AT3G51470
E2FDP_tnt.DEL1_col_a	AT3G48160
E2FDP_tnt.DEL1_colamp_a	AT3G48160
E2FDP_tnt.DEL2_col_a	AT5G14960
E2FDP_tnt.DEL2_colamp_a	AT5G14960
E2FDP_tnt.E2FA_col_a	AT2G36010
E2FDP_tnt.E2FA_colamp_a	AT2G36010
E2FDP_tnt.E2FC_col_a	AT1G47870
EIL_tnt.EIL3_col_b	AT1G73730
EIL_tnt.EIN3_col_a	AT3G20770
EIL_tnt.EIN3_colamp_a	AT3G20770
FAR1_tnt.FAR1_col_a	AT4G15090
FAR1_tnt.FAR1_colamp_a	AT4G15090
FHA_tnt.FHA2_col_b	AT3G07220
G2like_tnt.AT1G49560_col_a	AT1G49560
G2like_tnt.AT1G49560_colamp_a	AT1G49560
G2like_tnt.AT2G20400_col_a	AT2G20400
G2like_tnt.AT2G20400_colamp_a	AT2G20400
G2like_tnt.AT2G38300_col_a	AT2G38300
G2like_tnt.AT2G40260_col_a	AT2G40260
G2like_tnt.AT2G40260_colamp_a	AT2G40260
G2like_tnt.AT4G37180_col_a	AT4G37180
G2like_tnt.AT4G37180_colamp_a	AT4G37180
G2like_tnt.AT5G45580_col_a	AT5G45580
G2like_tnt.AT5G45580_colamp_a	AT5G45580
G2like_tnt.At1g13300_col_a	AT1G13300
G2like_tnt.At1g25550_col	AT1G25550
G2like_tnt.At1g25550_colamp_a	AT1G25550
G2like_tnt.At1g68670_col	AT1G68670
G2like_tnt.At1g68670_colamp_a	AT1G68670
G2like_tnt.At2g01060_col	AT2G01060
G2like_tnt.At2g01060_colamp_a	AT2G01060
G2like_tnt.At2g03500_col_a	AT2G03500
G2like_tnt.At2g03500_colamp_a	AT2G03500
G2like_tnt.At3g04030_col_a	AT3G04030
G2like_tnt.At3g04030_colamp_a	AT3G04030
G2like_tnt.At3g12730_col_a	AT3G12730
G2like_tnt.At3g12730_colamp_a	AT3G12730
G2like_tnt.At3g13040_col_b	AT3G13040
G2like_tnt.At3g24120_col_a	AT3G24120
G2like_tnt.At3g24120_colamp_a	AT3G24120
G2like_tnt.At5g29000_col_a	AT5G29000
G2like_tnt.KAN2_col_a	AT1G32240
G2like_tnt.KAN2_colamp_a	AT1G32240
GRF_tnt.AtGRF6_col_a	AT2G06200
GRF_tnt.GRF9_col_a	AT2G45480
GRF_tnt.GRF9_colamp_a	AT2G45480
GeBP_tnt.AT1G66420_col_a	AT1G66420
GeBP_tnt.AT4G00250_col_a	AT4G00250
HB_tnt.ANL2_col_a	AT4G00730
HB_tnt.ANL2_colamp_a	AT4G00730
HB_tnt.ATHB15_col_a	AT1G52150
HB_tnt.ATHB21_col_a	AT2G18550
HB_tnt.ATHB21_colamp_a	AT2G18550
HB_tnt.ATHB40_col_a	AT4G36740
HB_tnt.ATHB40_colamp_a	AT4G36740
HB_tnt.ATHB53_col_a	AT5G66700
HB_tnt.ATHB53_colamp_a	AT5G66700
HB_tnt.ATHB5_col_a	AT5G65310
HB_tnt.ATHB5_colamp_a	AT5G65310
HB_tnt.HDG7_col_a	AT5G52170
HB_tnt.LMI1_col_a	AT5G03790
HB_tnt.LMI1_colamp_a	AT5G03790
HB_tnt.PHV_col_a	AT1G30490
HB_tnt.WOX11_col_a	AT3G03660
HMG_tnt.3XHMGBOX1_col_a	AT4G11080
HMG_tnt.3XHMGBOX1_colamp_a	AT4G11080
HSF_tnt.HSF21_col_a	AT4G18880
